Post_Date,Title,Label,Company,Location,Description,URL,Salary_Max,Salary_Min
2026-03-01T11:37:42Z,"Senior Product Manager, AI",IT Jobs,Humana,"The Colony, Denton County","Become a part of our caring community and help us put health first The Senior AI Product Managers work with cross-functional teams of engineers, designers, data scientists, and business stakeholders to build AI-powered solutions that solve real enterprise problems. We are looking for product managers who value moving quickly, from understanding a business challenge to prototyping an AI solution to proving its value. You will own a product area within our applied AI portfolio, define what succes…",https://www.adzuna.com/land/ad/5650251083?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=575B3E06F9A0875BA2E6773FD4AA307B5B61EDB9,207575.8,207575.8
2026-03-01T12:48:31Z,"Senior Product Manager, AI",IT Jobs,Humana,US,"Become a part of our caring community and help us put health first The Senior AI Product Managers work with cross-functional teams of engineers, designers, data scientists, and business stakeholders to build AI-powered solutions that solve real enterprise problems. We are looking for product managers who value moving quickly, from understanding a business challenge to prototyping an AI solution to proving its value. You will own a product area within our applied AI portfolio, define what succes…",https://www.adzuna.com/land/ad/5650278452?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=E8CEA17697C424FE6C51A3F7993999F042B256F3,203586.53,203586.53
2026-03-01T11:56:05Z,"Lead, AI Product Management",IT Jobs,Humana,"The Colony, Denton County","Become a part of our caring community and help us put health first We are seeking an experienced IT Product Management Lead to lead product and service design for applied AI solutions, accelerating innovation and product development for our AI platform teams. This role combines strategic product thinking with hands-on design expertise to create intuitive, scalable AI products and frameworks that deliver exceptional user experiences. The ideal candidate will have a proven track record of designi…",https://www.adzuna.com/land/ad/5650258239?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=E4A85A7C451217A08CC4BFFE5721E5851457C556,157985.38,157985.38
2026-03-03T01:14:10Z,"Lead, AI Product Management",IT Jobs,Humana,US,"Become a part of our caring community and help us put health first We are seeking an experienced IT Product Management Lead to lead product and service design for applied AI solutions, accelerating innovation and product development for our AI platform teams. This role combines strategic product thinking with hands-on design expertise to create intuitive, scalable AI products and frameworks that deliver exceptional user experiences. The ideal candidate will have a proven track record of designi…",https://www.adzuna.com/land/ad/5652057718?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=E712D385F680D7555938714F64617B63CA9EAE32,158968.52,158968.52
2026-03-03T01:27:18Z,Senior AI Product Management,IT Jobs,Humana,US,"Become a part of our caring community and help us put health first The Senior IT Product Manager conceives, develops, delivers, and manages products for use across Humana. Oversees and manages all phases of the product lifecycle, from design conception to delivery. The Senior IT Product Manager work assignments involve moderately complex to complex issues where the analysis of situations or data requires an in-depth evaluation of variable factors. We are seeking an experienced Senior IT Product…",https://www.adzuna.com/land/ad/5652059423?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=C860B2A578DBD53C864333790595C5BEA63EA10D,169193.67,169193.67
2026-03-01T12:55:46Z,Senior AI Product Management,IT Jobs,Humana,"The Colony, Denton County","Become a part of our caring community and help us put health first The Senior IT Product Manager conceives, develops, delivers, and manages products for use across Humana. Oversees and manages all phases of the product lifecycle, from design conception to delivery. The Senior IT Product Manager work assignments involve moderately complex to complex issues where the analysis of situations or data requires an in-depth evaluation of variable factors. We are seeking an experienced Senior IT Product…",https://www.adzuna.com/land/ad/5650290937?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=23C8F1A370B2696F8E6B487904C12FF1D6D406E4,165258.38,165258.38
2026-02-20T23:53:54Z,Staff AI Research Engineer,IT Jobs,Lockheed Martin,"Offutt Air Force Base, Sarpy County","Job ID: 695377BR Date posted: Jan. 13, 2026 Description: Who We Are: Lockheed Martin RMS provides mission software for the United States Strategic Command (USSTRATCOM) Nuclear Deterrence Mission. Our amazing men and women are on a mission to make a difference in the world and keep our nation safe. We use our unique skills and experiences every day to create, design and build solutions to some of the world‘s hardest engineering problems. Lockheed Martin RMS at Offutt Air Force Base in Bellevue, …",https://www.adzuna.com/land/ad/5639264533?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=159ED19E7C90E837FEB6DD776275B88B9611D764,106171.92,106171.92
2026-03-03T01:17:55Z,"Lead, AI Platform Engineer",IT Jobs,Humana,"Tampa Palms, Hillsborough County","Become a part of our caring community and help us put health first At Humana, technology platforms are central to delivering secure, scalable, and innovative healthcare solutions that serve millions of members and thousands of healthcare providers nationwide. We are seeking an experienced and highly technical Lead, AI Platform Engineer to drive the strategic evolution of our engineering platforms, enabling high-performing product and AI teams to deliver transformative solutions that measurably …",https://www.adzuna.com/land/ad/5652058291?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=060C7FEC2E914C657DFAB8468E8E8940E234BA5B,258708.47,258708.47
2026-03-03T00:46:46Z,"Lead, AI Platform Engineer",IT Jobs,Humana,US,"Become a part of our caring community and help us put health first At Humana, technology platforms are central to delivering secure, scalable, and innovative healthcare solutions that serve millions of members and thousands of healthcare providers nationwide. We are seeking an experienced and highly technical Lead, AI Platform Engineer to drive the strategic evolution of our engineering platforms, enabling high-performing product and AI teams to deliver transformative solutions that measurably …",https://www.adzuna.com/land/ad/5652021468?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=89B9C8EAEB390C6F76196D85A73C260941814728,254442.17,254442.17
2026-03-03T00:48:41Z,"Lead, AI Platform Engineer",IT Jobs,Humana,"Mount Rainier, Prince George's County","Become a part of our caring community and help us put health first At Humana, technology platforms are central to delivering secure, scalable, and innovative healthcare solutions that serve millions of members and thousands of healthcare providers nationwide. We are seeking an experienced and highly technical Lead, AI Platform Engineer to drive the strategic evolution of our engineering platforms, enabling high-performing product and AI teams to deliver transformative solutions that measurably …",https://www.adzuna.com/land/ad/5652024459?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=D928AAE9C492C5BB886DDB2E3107DC9162DE93E7,244228.14,244228.14
2026-03-03T00:53:22Z,"Lead, AI Platform Engineer",IT Jobs,Humana,"The Colony, Denton County","Become a part of our caring community and help us put health first At Humana, technology platforms are central to delivering secure, scalable, and innovative healthcare solutions that serve millions of members and thousands of healthcare providers nationwide. We are seeking an experienced and highly technical Lead, AI Platform Engineer to drive the strategic evolution of our engineering platforms, enabling high-performing product and AI teams to deliver transformative solutions that measurably …",https://www.adzuna.com/land/ad/5652047229?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=1B48082244E0E9D6AA414E04C29B4DBE5C1EF4B1,243048.02,243048.02
2026-03-03T00:59:46Z,"Senior, AI Platform Engineer",IT Jobs,Humana,"The Colony, Denton County","Become a part of our caring community and help us put health first At Humana, we are deeply committed to transforming the healthcare landscape through secure, scalable, and innovative technology platforms that fundamentally improve the health and well-being of millions of members across the country. We are seeking a highly skilled Senior Platform Engineer to contribute meaningfully to the comprehensive design, meticulous development, and reliable operation of foundational engineering platforms …",https://www.adzuna.com/land/ad/5652055303?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=575C591F308655CEBEB95BC9F9357F25A10A7592,255025.69,255025.69
2026-03-03T00:50:42Z,"Senior, AI Platform Engineer",IT Jobs,Humana,"Mount Rainier, Prince George's County","Become a part of our caring community and help us put health first At Humana, we are deeply committed to transforming the healthcare landscape through secure, scalable, and innovative technology platforms that fundamentally improve the health and well-being of millions of members across the country. We are seeking a highly skilled Senior Platform Engineer to contribute meaningfully to the comprehensive design, meticulous development, and reliable operation of foundational engineering platforms …",https://www.adzuna.com/land/ad/5652036668?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=E1CAECB256E58002B86C276B8C40BECB5415C2D0,256263.95,256263.95
2026-03-03T01:27:18Z,"Senior, AI Platform Engineer",IT Jobs,Humana,"Tampa Palms, Hillsborough County","Become a part of our caring community and help us put health first At Humana, we are deeply committed to transforming the healthcare landscape through secure, scalable, and innovative technology platforms that fundamentally improve the health and well-being of millions of members across the country. We are seeking a highly skilled Senior Platform Engineer to contribute meaningfully to the comprehensive design, meticulous development, and reliable operation of foundational engineering platforms …",https://www.adzuna.com/land/ad/5652059421?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=2CB53251742A59788B8EA9390FBE56DED77F415E,271457.9,271457.9
2026-02-23T05:50:39Z,"AI Research Software Engineer Senior (hybrid, Orlando, Secret)",IT Jobs,Lockheed Martin,"Hiawassee, Orange County","Job ID: 716663BR Date posted: Feb. 02, 2026 Description: Are you ready to unlock the full potential of Artificial Intelligence and be part of a team that's revolutionizing the industry? Look no further! The Lockheed Martin Artificial Intelligence Center (LAIC) team is seeking a high energy, highly motivated, and experienced individual to join our Applied AI team, specifically the Cognitive Modules portfolio. As a key member of our team, you'll have the opportunity to work on a wide range of pro…",https://www.adzuna.com/details/5642281193?utm_medium=api&utm_source=899c0352,163640.36,163640.36
2026-02-20T08:26:29Z,AI-Native Growth Lead,"PR, Advertising & Marketing Jobs",Aonic,"San Francisco, California","Team: D2C Growth Reports to: CEO Compensation: $160,000–$200,000 base  substantial equity (targeting 7-figure annual comp through upside) Location: San Francisco (Jackson Square) - onsite, high-collaboration role About Aonic We're building the modern, healthy PepsiCo: a next-generation functional nutrition company making vibrant wellness effortless for millions of Americans through scientifically advanced, delicious products like Aonic Complete (our patent-pending all-in-one supplement) and Aon…",https://www.adzuna.com/land/ad/5637912405?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=77AFED14F0B96F8445E208DCB00E73E57E3B02B0,225152.98,225152.98
2026-02-10T15:23:57Z,Senior AI/ML Engineer with Poly,IT Jobs,Lockheed Martin,"Savage, Anne Arundel County","Job ID: 705786BR Date posted: Jan. 06, 2026 Description: THE WORK The Artificial Intelligence/Machine Learning (AI/ML) Engineer designs, creates, tests, and productizes AI/ML algorithms to solve business challenges. The AI/ML models they create should be capable of learning and making predictions as defined by the business logic developed to meet customer requirements. The AI/ML Engineer should be proficient in all aspects of model architecture, data pipeline interaction, and metrics applicatio…",https://www.adzuna.com/land/ad/5623253236?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=EB50D0248F638D9B4442F01586278F3701B4A23D,192446.03,192446.03
2026-03-02T15:24:03Z,AI Lead Engineer,IT Jobs,Triad Financial Services Inc,"Atlantic Beach, Duval County","Triad Financial Services is a leading provider of financial services and solutions, serving clients nationwide and seeking an AI Lead Engineer or Manager who will report directly to the Chief Information Officer. This role requires an experienced strategic leader who will be responsible for developing and executing the enterprise-wide AI vision, strategy, and roadmap. This role ensures the protection of digital assets, data, and infrastructure surrounding our AI posture. This role partners with…",https://www.adzuna.com/details/5651657912?utm_medium=api&utm_source=899c0352,154944.88,154944.88
2026-01-08T05:50:02Z,AI Product Architect,IT Jobs,Halliburton,"Houston, Harris County","We are looking for the right people - people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world's largest providers of products and services to the global energy industry. Position Summary The AI Product Architect will lead AI adoption across the Software Development Lifecycle (SDLC) for the…",https://www.adzuna.com/land/ad/5573661299?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=A064CF003E329FDC28346A6386E39E9549CC0D18,143688.97,143688.97
2026-02-26T06:48:36Z,"AI Engineer, AI.x",IT Jobs,Charles Schwab,"Hayes Valley, San Francisco","At Schwab, you will build a rewarding career while making a difference in the lives of our millions of clients. Here, innovative thinking meets creative problem solving as we work together to challenge the status quo. We believe in the power of collaboration and value being together in the office, which is why this role is based on-site in our San Francisco office. Joining Schwab means joining a company committed to transforming the financial industry and putting clients at the center of everyt…",https://www.adzuna.com/land/ad/5646137980?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=467DE8A26F786FC6C1121CF17A3B5FCA2F6CAC95,188193.95,188193.95
2026-02-25T10:45:25Z,Staff AI Engineer - AI Product,IT Jobs,ClickUp,"Elkins Park, Montgomery County","At ClickUp, we’re not just building software. We’re architecting the future of work! In a world overwhelmed by work sprawl, we saw a better way. That’s why we created the first truly converged AI workspace, unifying tasks, docs, chat, calendar, and enterprise search, all supercharged by context-driven AI, empowering millions of teams to break free from silos, reclaim their time, and unlock new levels of productivity. At ClickUp, you’ll have the opportunity to learn, use, and pioneer AI in ways …",https://www.adzuna.com/land/ad/5644890895?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=C3F13CA8E561112AC2939A3ED706B4AA9CEBD3C3,104678.1,104678.1
2026-02-25T10:45:25Z,Staff AI Engineer - AI Product,IT Jobs,ClickUp,"Campbell, Santa Clara County","At ClickUp, we’re not just building software. We’re architecting the future of work! In a world overwhelmed by work sprawl, we saw a better way. That’s why we created the first truly converged AI workspace, unifying tasks, docs, chat, calendar, and enterprise search, all supercharged by context-driven AI, empowering millions of teams to break free from silos, reclaim their time, and unlock new levels of productivity. At ClickUp, you’ll have the opportunity to learn, use, and pioneer AI in ways …",https://www.adzuna.com/land/ad/5644890884?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=223682E909E290DFB0DD9DAF8870F2FACCFD1C3C,91177.44,91177.44
2026-02-25T10:47:02Z,Staff AI Engineer - AI Product,IT Jobs,ClickUp,"Highland Park, Dallas","At ClickUp, we’re not just building software. We’re architecting the future of work! In a world overwhelmed by work sprawl, we saw a better way. That’s why we created the first truly converged AI workspace, unifying tasks, docs, chat, calendar, and enterprise search, all supercharged by context-driven AI, empowering millions of teams to break free from silos, reclaim their time, and unlock new levels of productivity. At ClickUp, you’ll have the opportunity to learn, use, and pioneer AI in ways …",https://www.adzuna.com/land/ad/5644893027?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=71F48A60A0849A4D4A51A17EB510CBCD55ADD2FC,84881.09,84881.09
2026-02-25T10:45:57Z,Staff AI Engineer - AI Product,IT Jobs,ClickUp,"Textile Finance, Los Angeles County","At ClickUp, we’re not just building software. We’re architecting the future of work! In a world overwhelmed by work sprawl, we saw a better way. That’s why we created the first truly converged AI workspace, unifying tasks, docs, chat, calendar, and enterprise search, all supercharged by context-driven AI, empowering millions of teams to break free from silos, reclaim their time, and unlock new levels of productivity. At ClickUp, you’ll have the opportunity to learn, use, and pioneer AI in ways …",https://www.adzuna.com/land/ad/5644891533?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=C8B609D1C627E587FAFEC48CCCEB9CB6DC046ADD,91727.59,91727.59
2026-02-25T10:47:01Z,Staff AI Engineer - AI Product,IT Jobs,ClickUp,"Hayes Valley, San Francisco","At ClickUp, we’re not just building software. We’re architecting the future of work! In a world overwhelmed by work sprawl, we saw a better way. That’s why we created the first truly converged AI workspace, unifying tasks, docs, chat, calendar, and enterprise search, all supercharged by context-driven AI, empowering millions of teams to break free from silos, reclaim their time, and unlock new levels of productivity. At ClickUp, you’ll have the opportunity to learn, use, and pioneer AI in ways …",https://www.adzuna.com/land/ad/5644892986?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=5C24950D80B697DDEBB52AC33D6797012F755985,92743.11,92743.11
2026-02-25T10:47:02Z,Staff AI Engineer - AI Product,IT Jobs,ClickUp,"South Boston, Suffolk County","At ClickUp, we’re not just building software. We’re architecting the future of work! In a world overwhelmed by work sprawl, we saw a better way. That’s why we created the first truly converged AI workspace, unifying tasks, docs, chat, calendar, and enterprise search, all supercharged by context-driven AI, empowering millions of teams to break free from silos, reclaim their time, and unlock new levels of productivity. At ClickUp, you’ll have the opportunity to learn, use, and pioneer AI in ways …",https://www.adzuna.com/land/ad/5644893007?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=09C6B4B80186335B8FEB907EFF969CDDC08F1C89,97783.11,97783.11
2026-02-25T10:47:02Z,Staff AI Engineer - AI Product,IT Jobs,ClickUp,"Bee Cave, Travis County","At ClickUp, we’re not just building software. We’re architecting the future of work! In a world overwhelmed by work sprawl, we saw a better way. That’s why we created the first truly converged AI workspace, unifying tasks, docs, chat, calendar, and enterprise search, all supercharged by context-driven AI, empowering millions of teams to break free from silos, reclaim their time, and unlock new levels of productivity. At ClickUp, you’ll have the opportunity to learn, use, and pioneer AI in ways …",https://www.adzuna.com/land/ad/5644893003?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=FA9B07AFF3BC5E7EEA32E644CA8757D480D468ED,79769.13,79769.13
2026-02-25T10:47:03Z,Staff AI Engineer - AI Product,IT Jobs,ClickUp,"San Diego, San Diego County","At ClickUp, we’re not just building software. We’re architecting the future of work! In a world overwhelmed by work sprawl, we saw a better way. That’s why we created the first truly converged AI workspace, unifying tasks, docs, chat, calendar, and enterprise search, all supercharged by context-driven AI, empowering millions of teams to break free from silos, reclaim their time, and unlock new levels of productivity. At ClickUp, you’ll have the opportunity to learn, use, and pioneer AI in ways …",https://www.adzuna.com/land/ad/5644893061?se=Zmq2yVQX8RGJSaBiaI_LLw&utm_medium=api&utm_source=899c0352&v=CD8E560EE5914DCCDA5A72E09B139E8C2B779CD9,98903.01,98903.01
