date,Big Data,C++,Cloud Computing,Communication,Computer Vision,Data Visualization,Deep Learning,Generative AI,JAVA,Machine Learning,MLOps,NLP,Problem Solving,Project Management,Python,Pytorch,R,Scikit-Learn,SQL,Statistics,TensorFlow
2023-03-01,31,95,23,47,18,52,28,13,82,30,36,79,70,55,100,94,83,99,100,39,100
2023-04-01,29,89,21,45,18,53,25,16,77,30,33,72,67,72,94,95,88,100,92,39,89
2023-05-01,26,71,21,43,16,46,22,27,70,27,35,67,57,49,86,80,78,73,87,35,70
2023-06-01,22,65,18,36,17,41,21,38,69,26,35,68,40,49,84,76,74,63,92,23,72
2023-07-01,22,65,19,34,16,42,21,30,69,25,33,65,36,49,81,76,72,62,86,24,70
2023-08-01,23,68,20,42,17,42,20,32,68,26,36,68,55,50,84,73,74,58,91,28,70
2023-09-01,32,90,24,55,19,50,22,30,80,29,33,69,78,51,92,72,77,72,84,38,63
2023-10-01,34,99,25,55,20,53,25,32,80,31,37,72,82,53,98,81,83,80,89,38,69
2023-11-01,26,81,23,50,18,50,24,31,70,28,34,68,68,56,86,81,82,77,78,36,70
2023-12-01,23,66,21,41,17,41,21,25,60,26,32,63,54,43,70,67,71,57,68,31,61
2024-01-01,29,75,23,47,20,49,23,28,68,29,38,69,65,54,85,68,81,58,84,34,63
2024-02-01,38,100,27,56,24,63,27,34,86,32,45,72,79,59,96,88,90,84,99,41,71
2024-03-01,33,82,26,50,21,55,26,33,73,33,44,72,67,52,90,88,82,71,87,36,67
2024-04-01,31,81,26,53,21,55,27,33,70,32,42,70,68,54,87,90,86,83,83,40,71
2024-05-01,26,68,22,44,18,45,23,32,67,27,42,62,58,50,80,74,74,58,84,33,61
2024-06-01,25,61,22,40,17,44,21,31,67,27,39,56,40,49,79,71,75,54,79,25,62
2024-07-01,23,60,22,36,16,41,20,29,65,27,41,59,38,50,77,73,72,54,80,22,56
2024-08-01,27,64,22,43,17,43,21,28,66,26,41,55,54,53,75,64,74,48,79,27,56
2024-09-01,34,81,23,56,21,56,24,29,73,30,40,63,78,53,83,71,79,60,77,41,52
2024-10-01,35,82,26,56,21,56,26,32,69,30,40,63,78,53,86,71,84,65,82,39,53
2024-11-01,29,68,25,50,21,52,27,31,62,31,37,62,71,51,75,70,75,62,69,36,54
2024-12-01,26,60,23,42,19,44,21,27,56,27,29,65,53,43,67,54,76,55,61,28,47
2025-01-01,31,63,25,48,21,53,25,31,62,29,37,60,64,57,74,59,73,47,67,31,48
2025-02-01,35,78,27,57,24,68,29,36,71,34,45,73,76,62,87,75,83,57,81,36,56
2025-03-01,36,71,29,54,22,60,29,35,66,32,46,60,71,62,77,69,85,56,74,33,57
2025-04-01,34,66,29,54,22,57,28,36,72,32,42,66,67,59,76,65,85,55,72,35,49
2025-05-01,38,55,32,47,22,57,25,38,60,32,45,61,56,60,67,63,78,47,66,31,44
2025-06-01,49,54,42,50,37,72,32,53,66,41,65,72,47,75,73,75,83,47,69,33,51
2025-07-01,72,63,41,54,42,71,55,67,100,52,75,95,50,80,83,83,78,59,77,53,65
2025-08-01,47,52,39,53,30,73,52,72,53,47,72,71,59,74,73,68,78,44,66,44,47
2025-09-01,52,69,46,71,39,85,46,63,60,46,63,64,79,82,81,63,81,54,67,51,44
2025-10-01,46,69,39,67,38,72,34,58,61,40,59,66,79,74,79,78,86,57,74,50,41
2025-11-01,64,59,51,63,53,75,62,80,61,57,78,85,74,72,75,100,82,70,65,72,56
2025-12-01,71,50,48,62,60,62,73,86,60,63,85,80,65,64,69,85,84,53,50,81,53
2026-01-01,87,57,61,76,75,74,95,100,68,78,100,97,79,84,79,97,88,61,64,83,56
2026-02-01,100,64,100,100,100,100,100,94,67,100,97,100,100,100,86,96,100,78,67,100,65
