Post_Date,Company,Description,Title,Field,Machine Learning,Deep Learning,NLP,Computer Vision,Generative AI,Statistics,Python,SQL,C++,Java,PyTorch,TensorFlow,Scikit-Learn,Cloud Computing,Big Data,MLOps,Data Visualization,Communication,Project Management,Problem Solving,Post_Year,Post_Month,Seniority_Level,Salary
2026-03-01 11:37:42+00:00,Humana,"Become a part of our caring community and help us put health first The Senior AI Product Managers work with cross-functional teams of engineers, designers, data scientists, and business stakeholders to build AI-powered solutions that solve real enterprise problems. We are looking for product managers who value moving quickly, from understanding a business challenge to prototyping an AI solution to proving its value. You will own a product area within our applied AI portfolio, define what succes…",Senior Product Manager  AI,IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,3,Senior,207575.8
2026-03-01 11:56:05+00:00,Humana,"Become a part of our caring community and help us put health first We are seeking an experienced IT Product Management Lead to lead product and service design for applied AI solutions, accelerating innovation and product development for our AI platform teams. This role combines strategic product thinking with hands-on design expertise to create intuitive, scalable AI products and frameworks that deliver exceptional user experiences. The ideal candidate will have a proven track record of designi…",Lead  AI Product Management,IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,3,Senior,157985.38
2026-03-03 01:27:18+00:00,Humana,"Become a part of our caring community and help us put health first The Senior IT Product Manager conceives, develops, delivers, and manages products for use across Humana. Oversees and manages all phases of the product lifecycle, from design conception to delivery. The Senior IT Product Manager work assignments involve moderately complex to complex issues where the analysis of situations or data requires an in-depth evaluation of variable factors. We are seeking an experienced Senior IT Product…",Senior AI Product Management,IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,3,Senior,169193.67
2026-02-20 23:53:54+00:00,Lockheed Martin,"Job ID: 695377BR Date posted: Jan. 13, 2026 Description: Who We Are: Lockheed Martin RMS provides mission software for the United States Strategic Command (USSTRATCOM) Nuclear Deterrence Mission. Our amazing men and women are on a mission to make a difference in the world and keep our nation safe. We use our unique skills and experiences every day to create, design and build solutions to some of the world‘s hardest engineering problems. Lockheed Martin RMS at Offutt Air Force Base in Bellevue, …",Staff AI Research Engineer,IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,2,Senior,106171.92
2026-03-03 01:17:55+00:00,Humana,"Become a part of our caring community and help us put health first At Humana, technology platforms are central to delivering secure, scalable, and innovative healthcare solutions that serve millions of members and thousands of healthcare providers nationwide. We are seeking an experienced and highly technical Lead, AI Platform Engineer to drive the strategic evolution of our engineering platforms, enabling high-performing product and AI teams to deliver transformative solutions that measurably …",Lead  AI Platform Engineer,IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,3,Senior,258708.47
2026-03-03 00:59:46+00:00,Humana,"Become a part of our caring community and help us put health first At Humana, we are deeply committed to transforming the healthcare landscape through secure, scalable, and innovative technology platforms that fundamentally improve the health and well-being of millions of members across the country. We are seeking a highly skilled Senior Platform Engineer to contribute meaningfully to the comprehensive design, meticulous development, and reliable operation of foundational engineering platforms …",Senior  AI Platform Engineer,IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,3,Senior,255025.69
2026-02-23 05:50:39+00:00,Lockheed Martin,"Job ID: 716663BR Date posted: Feb. 02, 2026 Description: Are you ready to unlock the full potential of Artificial Intelligence and be part of a team that's revolutionizing the industry? Look no further! The Lockheed Martin Artificial Intelligence Center (LAIC) team is seeking a high energy, highly motivated, and experienced individual to join our Applied AI team, specifically the Cognitive Modules portfolio. As a key member of our team, you'll have the opportunity to work on a wide range of pro…",AI Research Software Engineer Senior (Hybrid  Orlando  Secret),IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,2,Senior,163640.36
2026-02-20 08:26:29+00:00,Aonic,"Team: D2C Growth Reports to: CEO Compensation: $160,000–$200,000 base  substantial equity (targeting 7-figure annual comp through upside) Location: San Francisco (Jackson Square) - onsite, high-collaboration role About Aonic We're building the modern, healthy PepsiCo: a next-generation functional nutrition company making vibrant wellness effortless for millions of Americans through scientifically advanced, delicious products like Aonic Complete (our patent-pending all-in-one supplement) and Aon…",AI-Native Growth Lead,"PR, Advertising & Marketing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,2,Senior,225152.98
2026-02-10 15:23:57+00:00,Lockheed Martin,"Job ID: 705786BR Date posted: Jan. 06, 2026 Description: THE WORK The Artificial Intelligence/Machine Learning (AI/ML) Engineer designs, creates, tests, and productizes AI/ML algorithms to solve business challenges. The AI/ML models they create should be capable of learning and making predictions as defined by the business logic developed to meet customer requirements. The AI/ML Engineer should be proficient in all aspects of model architecture, data pipeline interaction, and metrics applicatio…",Senior AI/Ml Engineer With Poly,IT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,2,Senior,192446.03
2026-03-02 15:24:03+00:00,Triad Financial Services Inc,"Triad Financial Services is a leading provider of financial services and solutions, serving clients nationwide and seeking an AI Lead Engineer or Manager who will report directly to the Chief Information Officer. This role requires an experienced strategic leader who will be responsible for developing and executing the enterprise-wide AI vision, strategy, and roadmap. This role ensures the protection of digital assets, data, and infrastructure surrounding our AI posture. This role partners with…",AI Lead Engineer,IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,3,Senior,154944.88
